subregion,pop
fairfax,1138331
prince william,486943
virginia beach,455618
loudoun,432085
chesterfield,378408
henrico,333962
chesapeake,252488
arlington,234000
norfolk,232995
richmond,229395
newport news,184306
stafford,163380
alexandria,155525
spotsylvania,146688
hampton,138037
albemarle,114534
hanover,112938
montgomery,98915
suffolk,98537
roanoke,97847
portsmouth,97029
roanoke,96914
frederick,95051
rockingham,85397
james,81199
bedford,80848
lynchburg,79287
augusta,78064
fauquier,74664
york,71341
pittsylvania,59952
campbell,55141
franklin,55074
culpeper,54381
washington,53958
harrisonburg,51158
henry,49906
charlottesville,45373
shenandoah,44968
prince george,43134
manassas,42642
danville,42229
warren,41440
isle of wight,40151
louisa,40116
tazewell,39821
gloucester,39493
orange,37991
wise,35421
botetourt,34135
pulaski,33706
halifax,33644
petersburg,33394
accomack,33191
caroline,31957
amherst,31589
powhatan,31489
mecklenburg,30508
smyth,29449
carroll,29147
fredericksburg,28757
dinwiddie,28161
fluvanna,28159
wythe,28111
winchester,27936
king george,27856
goochland,26109
staunton,25904
salem,25523
russell,25448
new kent,24986
page,23750
hopewell,22962
waynesboro,22808
rockbridge,22593
lee,21982
prince edward,21927
scott,21476
greene,21107
buchanan,19352
westmoreland,18712
king william,18492
colonial heights,18294
southampton,17932
patrick,17643
buckingham,16982
bristol,16975
appomattox,16748
radford,16738
manassas park,16703
giles,16453
brunswick,15921
williamsburg,15909
floyd,15619
nottoway,15559
grayson,15343
clarke,15266
alleghany,14835
nelson,14652
falls church,14586
madison,14000
dickenson,13725
martinsville,13725
amelia,13455
poquoson,12582
northumberland,12302
lunenburg,12031
northampton,11900
charlotte,11475
greensville,11226
middlesex,10943
lancaster,10750
sussex,10680
essex,10630
cumberland,9746
richmond,9080
mathews,8490
franklin,8247
rappahannock,7502
lexington,7457
galax,6730
king and queen,6718
charles,6605
buena vista,6591
surry,6527
bland,6148
covington,5679
emporia,5481
craig,4847
bath,4049
norton,3609
highland,2301
